;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ;X; ; ; ; ;X; ; ; ; ;X; ; ; ; ;X; ; ; ; ;X; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ;X; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ; ;X; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ; ; ;X; ; ;X; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ;X;X;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ;X; ; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ; ;X; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ;X; ;X; ;X; ; ; ; ; ; ; ; ;X; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ; ;X; ; ; ;X; ; ; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ;D; ; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ; ;X; ; ;X; ; ; ; ; ; ;X; ; ; ; ; ; ; ;X; ; ;A; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ; ;X; ; ; ;X; ; ; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ; ;X; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ; ; ;X; ; ;X; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ;X;X;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ;X; ; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ; ;X; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ;X; ;X; ;X; ; ; ; ; ; ; ; ;X; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ;X; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ;X; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ;X; ; ;X; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ;X; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;X; ; ; ; ; ; ; ; ; ; ; ;
;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X; ; ; ; ; ; ; ; ; ; ; ;
; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
